ulke;radarName;Lat_Deg;Lat_Min;Lat_Sec;Lat_Dir;Lon_Deg;Lon_Min;Lon_Sec;Lon_Dir;groundHeight;bands;polarization
AU;WARREGO DULBYDILLA;26;26;24;S;147;20;57;E;517;C;S
RU;Arhangelsk;64;37;0;N;40;30;0;E;27;C;D
RU;Barabinsk;55;21;0;N;78;18;0;E;121;C;D
RU;Bryansk;53;13;0;N;34;11;0;E;200;C;D
RU;Vnukovo;55;35;0;N;37;15;0;E;228;C;D
RU;Izhevsk;56;50;0;N;53;27;0;E;182;C;D
BR;Macaé;22;24;17;S;41;51;36;W;20;S;D
BR;Natal;5;54;16;S;35;15;14;W;78;S;D
BR;Petrolina;9;22;1;S;40;34;23;W;394;S;D
BR;Salvador;12;54;9;S;38;19;36;W;30;S;D
BR;Jaraguari;20;16;43;S;54;28;26;W;753;S;D
BR;Almenara;16;12;7;S;40;40;27;W;814;S;D
BR;Três Marias;18;12;26;S;45;27;37;W;936;S;D
BR;São Francisco;16;0;32;S;44;41;45;W;730;S;D
BR;Santa Tereza;19;59;20;S;40;34;46;W;1009;S;D
BR;Lontras;27;13;52;S;49;27;42;W;857;S;D
RU;Vladivostok;42;21;0;N;132;3;0;E;40;C;D
RU;Kazan;55;35;0;N;49;17;0;E;110;C;D
RU;Kostroma;57;48;0;N;41;1;0;E;130;C;D
RU;Moscow-Profsoyuznaya;55;39;0;N;37;32;0;E;350;C;D
RU;Nizhny Novgorod;56;21;0;N;44;4;0;E;-999;C;D
RU;Petrozavodsk;61;49;0;N;34;15;0;E;160;C;D
RU;Smolensk;54;50;0;N;32;0;0;E;310;C;D
RU;Ufa;54;33;0;N;55;53;0;E;140;C;D
RU;Sheremetyevo;55;55;0;N;37;31;0;E;220;C;D
RU;Vologda;59;16;0;N;39;55;0;E;158;C;D
RU;Orenburg;51;41;0;N;55;4;0;E;126;C;D
RU;Moscow Krylatskoe, MRL-5;55;45;0;N;37;24;0;E;200;X;S
RU;Tver, MRL-5;56;49;0;N;34;59;0;E;130;X;S
RU;Kaluga, MRL-5;54;34;0;N;36;20;0;E;215;X;S
GE;Meteo 1100;41;45;33;N;44;54;59;E;1057;X;D
CH;Weissfluhgipfel;46;50;6;N;9;47;40;E;2850;C;D
AR;RMA0 - Bariloche;41;8;23;S;71;8;59;W;850;C;D
AR;RMA1 - Córdoba;31;26;29;S;64;11;31;W;441;C;D
AR;RMA2 - Ezeiza;34;48;3;S;58;30;55;W;12;C;D
NO;Hurum;59;37;38;N;10;33;52;E;347;C;D
NO;Sømna;65;13;12;N;11;59;33;E;302;C;D
RU;MRL-5, Psinabo;43;31;32;N;43;54;12;E;302;S;S
RU;DMRL-10;44;26;1;N;43;54;11;E;142;S;S
